date,open,high,low,close,volume,company,sector
2005-01-03,120.0,121.79355320456021,118.2310685042023,120.73020193564321,7754617,GOOGL,Technology
2005-01-04,120.3080791028161,120.88792497586057,118.92093878285769,119.88016150834227,3795639,GOOGL,Technology
2005-01-05,120.46861234169961,121.78682737420168,120.32649905105102,120.44835810873491,1899090,GOOGL,Technology
2005-01-06,117.75253821149809,117.8356676751991,116.0657646454728,117.08135426517246,3579145,GOOGL,Technology
2005-01-07,118.12189616806238,119.79032677326408,117.2610938141336,118.81424873195789,2770961,GOOGL,Technology
2005-01-10,117.85531232003471,118.2671870330386,116.34578317488206,116.92969943598068,3296705,GOOGL,Technology
2005-01-11,116.48349448730023,117.70074495988806,114.93013692674786,116.3097189919877,3009596,GOOGL,Technology
2005-01-12,117.05107628536182,118.09946316916532,115.05371439617798,116.60423774502407,1608358,GOOGL,Technology
2005-01-13,117.12815218081006,118.22441280656842,116.43426376998879,116.64268388806944,2292755,GOOGL,Technology
2005-01-14,116.24052424266951,116.74799781847354,114.5116376154222,115.72889423878708,7511091,GOOGL,Technology
2005-01-17,116.99304062103504,118.11126463116429,116.41944732003603,116.73209437671433,9352518,GOOGL,Technology
2005-01-18,116.93756968478138,118.14307239882562,114.94648939730301,117.7405560215218,2750744,GOOGL,Technology
2005-01-19,117.36415593579807,118.21506933190989,116.54365347713633,117.78168828653088,7456077,GOOGL,Technology
2005-01-20,117.06311298721899,118.32961908058822,115.74275246459376,117.84197534345512,1739469,GOOGL,Technology
2005-01-21,116.92420815825496,117.30735580922513,114.93518862524215,116.31709744904056,9327328,GOOGL,Technology
2005-01-24,118.4997208175498,119.5249113369983,118.09888588828653,119.1979723018564,4768008,GOOGL,Technology
2005-01-25,117.94316545803346,119.37676860656302,116.6951659257136,117.80288101194802,7399095,GOOGL,Technology
2005-01-26,118.24267063843182,118.97866248271689,116.24591662752368,119.20480244733672,7402533,GOOGL,Technology
2005-01-27,118.55113740774868,119.37343009694088,116.66321719453191,118.73844259591677,4830804,GOOGL,Technology
