date,open,high,low,close,volume,company,sector
2005-01-03,150.0,150.23500368042474,149.5499192019116,150.07211270865417,5624822,AAPL,Technology
2005-01-04,150.49671415301123,151.00071059629937,149.54312370521046,150.8190959524751,3747663,AAPL,Technology
2005-01-05,150.35844985184005,152.1999627539495,150.0932854914777,150.7654200728332,1230096,AAPL,Technology
2005-01-06,151.00613838994073,152.16931606564023,150.21598573916435,150.2796484371675,5116952,AAPL,Technology
2005-01-07,152.52916824634875,153.5961286638383,152.17489733676274,153.155063650238,8720093,AAPL,Technology
2005-01-10,152.2950148716254,153.48780207101032,151.5677593740831,152.65209893120692,7751214,AAPL,Technology
2005-01-11,152.0608779146762,152.79293444616926,151.31394948109076,152.83902774816966,9072418,AAPL,Technology
2005-01-12,153.6400907301836,155.2543047708226,151.65374915098693,153.53876284905448,4873723,AAPL,Technology
2005-01-13,154.4075254593365,155.45409795793702,152.41789940072897,155.1953049847809,5152268,AAPL,Technology
2005-01-14,153.93805107340157,154.17154687893915,153.70847851608033,154.6695993181137,4146265,AAPL,Technology
2005-01-17,154.48061111698752,154.73874136664566,153.02867355833084,154.35742978170606,7929977,AAPL,Technology
2005-01-18,154.01719342417505,155.0909117171803,153.91370246483686,153.779480054761,8416584,AAPL,Technology
2005-01-19,153.5514636706048,155.42460410674647,153.4910796399304,154.4170877005453,9686205,AAPL,Technology
2005-01-20,153.7934259421708,154.4101301855232,153.58275815368089,154.22375541124768,4147708,AAPL,Technology
2005-01-21,151.88014569751303,153.61922803523146,149.94917438349717,152.73663639038918,2906450,AAPL,Technology
2005-01-24,150.155227865,151.68341903815775,148.2735007692106,150.74917742279163,9552987,AAPL,Technology
2005-01-25,149.59294033575904,150.08856522157285,149.20508469519768,149.81153521434186,6331846,AAPL,Technology
2005-01-26,148.5801092154246,148.6527907120571,148.25676454431718,147.81181476943215,4845932,AAPL,Technology
2005-01-27,148.89435654801989,149.09805107830465,148.413286374988,148.47731789317808,3814372,AAPL,Technology
2005-01-28,147.98633247249867,149.44332034019357,146.9552384843484,148.92401728669546,9643043,AAPL,Technology
2005-01-31,146.57402877116337,146.97336824724465,145.43461950709255,146.21287296859177,9430596,AAPL,Technology
2005-02-01,148.03967754008494,148.78221938109573,147.59649067920606,147.22618727965568,5642972,AAPL,Technology
2005-02-02,147.8139012395984,148.81729957161124,146.30065566341852,148.22900795143704,1811250,AAPL,Technology
2005-02-03,147.88142944428634,149.33236578118667,147.26232310548104,148.3494379533737,2443478,AAPL,Technology
