date,open,high,low,close,volume,company,sector,daily_return,ma_7,ma_30,volatility_30
2005-01-03,150.0,150.23500368042474,149.5499192019116,150.07211270865417,5624822,AAPL,Technology,,,,
2005-01-04,150.49671415301123,151.00071059629937,149.54312370521046,150.8190959524751,3747663,AAPL,Technology,0.004977495354324013,,,
2005-01-05,150.35844985184005,152.1999627539495,150.0932854914777,150.7654200728332,1230096,AAPL,Technology,-0.00035589577899874936,,,
2005-01-06,151.00613838994073,152.16931606564023,150.21598573916435,150.2796484371675,5116952,AAPL,Technology,-0.0032220361634054395,,,
2005-01-07,152.52916824634875,153.5961286638383,152.17489733676274,153.155063650238,8720093,AAPL,Technology,0.019133763240554158,,,
2005-01-10,152.2950148716254,153.48780207101032,151.5677593740831,152.65209893120692,7751214,AAPL,Technology,-0.003284022787386931,,,
2005-01-11,152.0608779146762,152.79293444616926,151.31394948109076,152.83902774816966,9072418,AAPL,Technology,0.0012245414132627808,151.51178107153493,,
2005-01-12,153.6400907301836,155.2543047708226,151.65374915098693,153.53876284905448,4873723,AAPL,Technology,0.004578248836009102,152.0070168058778,,
2005-01-13,154.4075254593365,155.45409795793702,152.41789940072897,155.1953049847809,5152268,AAPL,Technology,0.010789080913430338,152.63218952477865,,
2005-01-14,153.93805107340157,154.17154687893915,153.70847851608033,154.6695993181137,4146265,AAPL,Technology,-0.0033873812530523795,153.1899294169616,,
2005-01-17,154.48061111698752,154.73874136664566,153.02867355833084,154.35742978170606,7929977,AAPL,Technology,-0.002018299250685973,153.77246960903852,,
2005-01-18,154.01719342417505,155.0909117171803,153.91370246483686,153.779480054761,8416584,AAPL,Technology,-0.0037442300494534564,153.86167195254183,,
2005-01-19,153.5514636706048,155.42460410674647,153.4910796399304,154.4170877005453,9686205,AAPL,Technology,0.004146246596472114,154.11381320530444,,
2005-01-20,153.7934259421708,154.4101301855232,153.58275815368089,154.22375541124768,4147708,AAPL,Technology,-0.0012520135703668611,154.31163144288703,,
2005-01-21,151.88014569751303,153.61922803523146,149.94917438349717,152.73663639038918,2906450,AAPL,Technology,-0.009642606723542668,154.197041948792,,
2005-01-24,150.155227865,151.68341903815775,148.2735007692106,150.74917742279163,9552987,AAPL,Technology,-0.013012326410787756,153.56188086850779,,
2005-01-25,149.59294033575904,150.08856522157285,149.20508469519768,149.81153521434186,6331846,AAPL,Technology,-0.0062198827514664545,152.8678717108261,,
2005-01-26,148.5801092154246,148.6527907120571,148.25676454431718,147.81181476943215,4845932,AAPL,Technology,-0.013348240788325305,151.93278385192983,,
2005-01-27,148.89435654801989,149.09805107830465,148.413286374988,148.47731789317808,3814372,AAPL,Technology,0.004502367586677991,151.17533211456083,,
2005-01-28,147.98633247249867,149.44332034019357,146.9552384843484,148.92401728669546,9643043,AAPL,Technology,0.0030085362522425108,150.39060776972514,,
2005-01-31,146.57402877116337,146.97336824724465,145.43461950709255,146.21287296859177,9430596,AAPL,Technology,-0.01820488305042456,149.24619599220287,,
2005-02-01,148.03967754008494,148.78221938109573,147.59649067920606,147.22618727965568,5642972,AAPL,Technology,0.006930404214693153,148.4589889763838,,
2005-02-02,147.8139012395984,148.81729957161124,146.30065566341852,148.22900795143704,1811250,AAPL,Technology,0.006811428661644969,148.09896476619028,,
2005-02-03,147.88142944428634,149.33236578118667,147.26232310548104,148.3494379533737,2443478,AAPL,Technology,0.0008124590699285505,147.8900937289091,,
2005-02-04,146.45668125807288,146.68314370459112,144.61241860701406,146.0275966986472,5082437,AAPL,Technology,-0.015651163137242685,147.63520543308272,,
2005-02-07,145.9122985335477,146.72503134410263,144.59885312063423,145.5076424922403,3498464,AAPL,Technology,-0.003560657150852742,147.2109660900916,,
2005-02-08,146.02322112325757,146.99336694154297,145.15051873465035,145.96100709427515,1108336,AAPL,Technology,0.003115744261054987,146.78767891974582,,
